Years,Term,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2022,Fall,ACCY,501,21,45,35,44,34,12,13,8,2,3,0,0,5,1,"Augusto Sampaio, Gerlando"
2022,Fall,ACCY,502,6,54,18,9,9,5,2,2,1,1,1,0,0,1,"Schwartz, Rachel"
2022,Fall,ACCY,502,14,25,14,11,6,5,5,6,1,1,1,0,0,0,"Mendoza, Scott A"
2022,Fall,ACCY,503,179,408,225,123,72,47,13,17,8,2,2,2,18,2,"Chen, Xiaoling"
2022,Fall,ACCY,503,2,12,7,9,11,4,3,6,0,0,0,0,8,0,"Zhang, Li"
2022,Fall,ACCY,503,22,44,0,3,2,1,1,0,0,0,1,0,0,0,"Herbold, T J"
2022,Fall,ACCY,504,43,136,72,41,132,5,0,1,0,0,0,0,0,0,"Peecher, Mark E"
2022,Fall,ACCY,504,0,40,29,21,4,3,2,2,0,0,0,0,0,0,"Rozario, Andrea M"
2022,Fall,ACCY,505,47,136,68,63,47,37,11,8,0,1,0,0,7,0,"Hutchens, Matthew"
2022,Fall,ACCY,505,1,35,11,19,16,3,4,1,0,0,0,0,0,0,"Alt, Amanda J"
2022,Fall,ACCY,510,20,61,0,7,7,4,0,0,0,0,0,0,0,0,"Steward, Cynthia G"
2022,Fall,ACCY,512,20,64,8,1,2,0,0,0,0,0,0,0,0,0,"Lu, Zhenzhong L"
2022,Fall,ACCY,515,0,25,14,13,25,4,0,0,0,0,1,0,0,0,"Zhou, Yuepin"
2022,Fall,ACCY,517,1,9,7,0,5,0,0,2,0,0,0,0,0,0,"Li, Yue"
2022,Fall,ACCY,517,0,17,29,9,4,2,0,0,0,0,0,0,0,1,"Hamm, Brian K"
2022,Fall,ACCY,518,55,6,1,2,0,0,0,0,0,0,0,0,0,0,"Nekrasz, Frank"
2022,Fall,ACCY,570,32,26,4,2,0,0,0,0,0,0,0,0,0,0,"Lu, Zhenzhong L"
2022,Fall,ACCY,570,14,69,7,3,8,2,0,0,0,0,0,0,0,0,"Anand, Vic"
2022,Fall,ACCY,570,17,10,0,0,3,0,0,0,0,0,1,0,0,0,"Herbold, T J"
2022,Fall,ACE,100,18,9,6,4,6,4,4,5,4,1,2,1,1,0,"Reed, Caleb N"
2022,Fall,ACE,100,14,10,9,4,5,5,3,6,1,0,1,3,1,0,"Hadunka, Protensia"
2022,Fall,ACE,100,6,5,3,2,4,2,3,0,0,0,1,0,0,1,"Kalaitzandonake, Maria H"
2022,Fall,ACE,161,0,27,0,0,19,0,0,5,0,0,1,0,2,0,"Lo, Alexander C"
2022,Fall,ACE,161,0,62,0,0,27,0,0,14,0,0,1,0,3,1,"Burnett, Meghan L"
2022,Fall,ACE,199,50,19,2,5,1,0,1,0,0,0,2,1,1,0,"Stoddard, Paul B"
2022,Fall,ACE,199,31,9,0,0,1,0,0,0,0,0,0,0,0,0,"Irani, Kaizad R"
2022,Fall,ACE,240,2,14,5,6,4,1,2,3,0,1,0,0,0,0,"Sanchez, Donovan"
2022,Fall,ACE,240,476,125,0,0,53,0,0,16,0,0,6,0,13,2,"Lemoine, Craig"
2022,Fall,ACE,341,4,28,1,0,4,0,0,2,0,0,0,0,0,0,"Helton, Caroline A"
2022,Fall,ACE,341,21,29,7,2,3,1,0,0,0,0,1,0,0,0,"Karplus, Lauren E"
2022,Fall,ACE,341,43,7,0,0,2,0,0,0,0,0,0,0,0,0,"Kuebler, Jacob D"
2022,Fall,ACES,101,13,11,2,0,1,1,0,0,1,0,0,1,0,0,"Knepp, Aleksi R"
2022,Fall,ACES,101,11,11,0,1,0,0,1,0,1,0,1,0,0,0,"Schnitkey, Gary D"
2022,Fall,ACES,101,24,18,3,2,0,1,1,0,0,0,0,0,1,0,"Edmonds, Devin A"
2022,Fall,ACES,101,15,4,3,0,0,0,1,0,0,0,0,0,0,0,"Bohn, Martin O"
2022,Fall,ACES,101,19,15,1,2,0,2,2,0,0,0,3,1,0,0,"Schneider, Alicia M"
2022,Fall,ACES,101,11,4,3,2,1,0,0,0,0,0,0,0,0,0,"Honegger, Logan J"
2022,Fall,ACES,101,35,18,2,1,0,0,1,1,0,0,1,0,0,0,"Elmore, Ailie C"
2022,Fall,ACES,101,29,10,4,0,1,0,1,0,0,0,0,0,0,0,"Emmert, Jason L"
2022,Fall,ACES,179,10,25,16,7,6,2,1,0,2,0,0,0,3,1,"Reid, Debra A"
2022,Fall,ADV,150,48,22,0,0,2,0,1,2,0,0,1,0,1,0,"Arreazola, Catherine J"
2022,Fall,ADV,150,43,23,2,0,5,0,0,2,0,1,1,0,1,0,"Faisal, Naufil B"
2022,Fall,ADV,150,27,30,1,1,12,0,0,2,1,0,0,0,5,0,"Wang, Yanyun"
2022,Fall,ADV,150,33,33,0,1,5,0,0,3,1,0,1,0,1,0,"Lee, Yujin"
2022,Fall,ADV,281,4,4,5,9,5,11,2,2,6,1,0,0,1,0,"Rahman, Nisa P"
2022,Fall,ADV,283,0,43,4,2,1,1,0,1,0,0,0,1,0,0,"Zhang, Shiyue"
2022,Fall,ADV,283,0,46,4,2,3,1,0,2,0,0,0,0,1,0,"Park, Se Il"
2022,Fall,ADV,284,0,12,13,13,4,7,0,0,1,1,0,0,3,0,"Liu, Weizi"
2022,Fall,ADV,284,0,30,14,4,1,2,0,0,1,1,0,0,0,0,"Chung, Un Chae"
2022,Fall,ADV,460,0,24,11,6,12,2,1,2,2,0,0,0,0,0,"Lee, Dongchan"
2022,Fall,ADV,460,0,15,19,8,7,4,1,2,1,0,1,0,0,0,"Kim, Woo Jin"
2022,Fall,ADV,483,2,9,18,13,9,6,1,2,1,0,0,0,0,0,"Wise, Kevin R"
2022,Fall,ADV,483,0,11,5,3,7,3,1,0,0,0,0,0,0,0,"Ray, Rik"
2022,Fall,AE,100,27,42,7,1,2,1,0,0,0,0,0,0,1,0,"Wroblewski, Gabrielle E"
2022,Fall,AE,140,10,35,16,3,4,7,2,1,0,0,0,1,9,0,"Laystrom-Woodar, Julia K"
2022,Fall,AE,442,0,17,8,8,20,7,7,12,2,0,4,0,1,0,"Lembeck, Michael F"
2022,Fall,AE,498,6,11,2,3,3,0,1,0,0,0,0,0,0,0,"Ansell, Phillip J"
2022,Fall,AE,498,1,7,3,4,6,1,0,0,0,0,0,0,0,0,"Panerai, Francesco"
2022,Fall,AFRO,101,0,13,13,16,8,0,0,1,2,0,0,0,1,0,"McDuffie, Erik S"
2022,Fall,AIS,285,7,14,4,0,0,0,0,0,0,0,3,0,0,0,"Maldonado, Korinta"
2022,Fall,ANSC,100,0,123,4,0,37,0,0,9,0,0,2,0,1,1,"Harsh, Bailey N"
2022,Fall,ANSC,250,100,140,22,11,10,10,2,5,2,1,2,2,3,2,"Richardson, Sarah D"
2022,Fall,ANSC,422,0,39,0,0,26,0,0,9,0,0,7,0,5,1,"Swanson, Kelly S"
2022,Fall,ANSC,424,0,31,0,0,17,0,0,4,0,0,1,0,0,0,"Cattai de Godoy, Maria Re"
2022,Fall,ANTH,102,0,50,0,2,6,0,2,3,1,0,4,0,8,0,"Sgheiza, Valerie"
2022,Fall,ANTH,103,6,7,1,4,1,1,0,0,0,0,0,0,2,0,"Rivera, Bryana M"
2022,Fall,ANTH,103,1,3,0,2,4,0,5,2,4,0,0,0,0,0,"Doubles, Catherine Z"
2022,Fall,ANTH,103,3,13,6,8,10,2,3,1,0,0,0,0,0,0,"Coyle, Joseph A"
2022,Fall,ANTH,246,118,284,24,28,39,8,10,25,4,5,8,2,30,2,"Jelinek, Petra"
2022,Fall,ARCH,321,3,62,9,9,12,1,3,4,1,0,3,0,0,0,"Bollo, Christina S"
2022,Fall,ASTR,100,80,126,67,50,48,21,14,16,20,8,9,11,57,1,"Winans, Amanda"
2022,Fall,BADM,210,3,259,73,32,44,18,9,10,3,1,4,0,1,0,"Larson, Eric"
2022,Fall,BADM,211,21,8,4,4,1,3,0,0,0,0,0,0,0,2,"Song, Xueze"
2022,Fall,BADM,211,0,29,2,2,4,3,1,1,0,0,0,0,0,0,"Hao, Shuai"
2022,Fall,BADM,211,71,6,3,2,2,1,2,1,0,0,0,0,1,0,"Liu, Zilong"
2022,Fall,BADM,211,33,11,16,10,8,4,4,0,0,0,0,1,0,1,"Moshref Javadi, Mohammad"
2022,Fall,BADM,211,0,68,5,7,6,0,2,0,1,0,0,0,0,0,"Ahsen, Mehmet E"
2022,Fall,BADM,211,4,18,2,0,1,3,0,2,2,1,0,0,1,0,"Zhao, Tiancheng"
2022,Fall,BADM,211,19,13,2,4,2,3,0,1,0,0,0,0,1,0,"Khandelwal, Ashish"
2022,Fall,BADM,275,0,34,10,5,2,1,0,1,0,1,0,1,0,0,"Baddam, Swathi Reddy"
2022,Fall,BADM,275,5,70,15,8,3,1,0,0,1,0,0,0,0,0,"Wang, Yixin"
2022,Fall,BADM,275,19,33,6,2,0,0,0,0,0,0,0,0,0,0,"Liang, Hongyan"
2022,Fall,BADM,275,6,36,14,1,1,0,1,0,0,0,0,0,0,0,"Hu, Junqi"
2022,Fall,BADM,275,20,47,29,8,8,1,4,0,0,0,0,0,0,0,"Kirci, Ismail"
2022,Fall,BADM,300,144,61,24,7,12,0,7,5,2,0,1,0,4,1,"Wright, Margaret"
2022,Fall,BADM,300,50,111,30,24,28,18,5,2,2,1,2,1,0,2,"Warnick, Emerson T"
2022,Fall,BADM,310,535,132,37,17,20,6,3,7,4,0,0,1,4,0,"White, Judith B"
2022,Fall,BADM,311,14,23,27,19,17,6,3,3,0,0,0,0,0,1,"Gupta, Pranav"
2022,Fall,BADM,312,0,42,16,14,5,1,0,0,1,0,0,0,0,0,"Khessina, Olga"
2022,Fall,BADM,314,20,7,3,0,1,1,1,1,0,0,0,1,0,0,"Ybarra, Oscar"
2022,Fall,BADM,320,72,198,38,27,44,2,4,1,1,0,3,0,1,0,"Liu, Yunchuan"
2022,Fall,BADM,320,220,169,40,38,33,9,6,8,0,1,1,1,2,0,"Wolters, Mark E"
2022,Fall,BADM,322,7,92,11,4,0,1,1,0,0,0,1,0,0,0,"Kim, Myoung Hee"
2022,Fall,BADM,323,4,9,0,1,6,1,0,0,0,0,0,0,0,0,"Kim, Sahoon"
2022,Fall,BADM,325,60,13,8,6,2,0,1,1,0,0,0,1,0,2,"Lim, Sarah"
2022,Fall,BADM,350,9,15,5,4,2,0,0,0,0,0,0,0,0,1,"Basu, Saunak"
2022,Fall,BADM,350,5,30,44,13,8,0,0,0,0,0,0,0,0,1,"Subramanyam, Ramanath"
2022,Fall,BADM,352,2,29,4,2,0,0,0,1,0,0,0,0,0,0,"Pamuksuz, Utku"
2022,Fall,BADM,353,2,63,40,15,4,2,1,0,0,0,0,0,0,1,"Haran, Vidya"
2022,Fall,BADM,367,0,91,6,2,0,0,0,0,0,0,0,0,0,0,"Corredor Waldro, Sandra T"
2022,Fall,BADM,375,36,52,15,4,2,3,0,0,0,0,0,0,1,0,"Liang, Hongyan"
2022,Fall,BADM,449,4,35,22,6,6,5,0,1,0,0,0,0,0,0,"Mahoney, Joseph T"
2022,Fall,BADM,449,2,15,7,5,3,1,1,2,1,0,1,0,0,0,"Pedraza Novak, Daniela"
2022,Fall,BADM,449,0,6,21,10,2,2,0,0,0,0,0,0,0,0,"Schijven, Mario P"
2022,Fall,BADM,449,2,18,14,12,14,7,9,2,0,0,0,0,0,0,"Kim, June-Young"
2022,Fall,BADM,449,2,20,8,6,3,0,1,0,0,0,0,0,0,0,"Huang, Der-Ting"
2022,Fall,BADM,449,0,67,36,12,3,1,0,0,0,0,0,1,0,0,"Chattopadhyay, Shinjinee"
2022,Fall,BADM,502,1,68,12,2,1,1,0,1,1,1,0,0,0,0,"Larson, Eric"
2022,Fall,BADM,508,710,151,53,20,24,11,3,7,8,3,3,3,17,8,"Loyd, Denise L"
2022,Fall,BADM,508,6,22,16,12,26,6,0,0,0,0,0,0,0,0,"Boynton, Dylan"
2022,Fall,BADM,509,199,475,172,97,70,35,10,7,4,0,2,2,20,2,"Bednar, Michael K"
2022,Fall,BADM,513,0,82,1,1,2,0,0,1,0,0,0,0,0,0,"Noonan, James R"
2022,Fall,BADM,514,0,36,27,12,1,2,0,0,0,0,0,0,0,0,"Takeda, Yusaku"
2022,Fall,BADM,520,345,442,119,35,12,4,1,0,0,0,0,0,4,1,"Noel, Hayden N"
2022,Fall,BADM,550,0,82,3,1,2,0,0,0,0,0,0,0,1,0,"Noonan, James R"
2022,Fall,BADM,554,2,21,13,16,10,7,2,2,1,0,0,0,0,0,"Sachdev, Vishal"
2022,Fall,BADM,566,35,43,10,3,0,0,0,0,0,0,0,0,0,0,"Seshadri, Sridhar"
2022,Fall,BADM,567,7,48,21,9,6,0,0,1,0,0,0,0,0,0,"Anand, Gopesh J"
2022,Fall,BADM,567,0,13,31,20,7,4,0,0,0,0,0,0,0,0,"Scott, Nehemiah"
2022,Fall,BADM,572,41,190,71,80,88,38,35,17,7,3,4,0,20,11,"Taghaboni-Dutta, Fataneh"
2022,Fall,BADM,590,17,14,6,4,3,4,0,0,0,0,0,0,0,0,"Narang, Unnati"
2022,Fall,BCOG,100,4,14,0,3,6,0,0,3,0,0,0,0,1,0,"Lai, Melinh"
2022,Fall,BCOG,100,2,13,0,4,8,0,0,3,0,0,1,0,3,0,"Yang, Runhan"
2022,Fall,BDI,513,8,6,2,4,1,0,0,0,0,0,0,0,0,0,"Bushell, Colleen B"
2022,Fall,BIOE,498,16,27,6,1,1,0,0,0,0,0,0,0,0,0,"Smith, Andrew M"
2022,Fall,BIOE,498,0,40,1,1,0,0,0,0,0,0,0,0,0,0,"Dobrucki, Wawrzyniec"
2022,Fall,BIOP,401,15,19,9,4,5,0,0,0,0,0,0,0,0,0,"Wu, Nicholas Ching"
2022,Fall,BTW,250,0,8,6,5,3,0,0,0,0,0,0,0,0,0,"Hudek, Barry A"
2022,Fall,BTW,250,0,38,11,15,3,0,0,0,0,0,1,0,0,0,"McGuire, Lee"
2022,Fall,BTW,250,10,7,3,0,0,1,0,1,0,0,0,0,0,0,"Short, Cassidy L"
2022,Fall,BTW,250,3,2,7,3,0,1,0,0,1,0,0,0,4,0,"Selznick, Hilary F"
2022,Fall,BTW,250,0,38,1,2,0,0,1,0,0,0,0,1,1,0,"Moss, Andrew P"
2022,Fall,BTW,250,0,37,3,1,2,1,1,0,0,0,0,0,2,1,"Bowman, Andrew J"
2022,Fall,BTW,250,0,22,0,0,0,1,0,0,0,0,0,0,0,0,"Kovanen, Bruce H"
2022,Fall,BTW,250,5,27,15,6,9,1,0,1,0,0,0,1,0,0,"Hapke, Gail L"
2022,Fall,BUS,101,0,452,37,19,8,1,3,1,0,1,0,2,0,1,"Barbeau, Aimee"
2022,Fall,BUS,201,0,151,8,4,1,0,0,0,0,0,0,0,0,0,"Kim, Heejin"
2022,Fall,BUS,201,0,90,14,3,1,1,0,0,0,0,0,0,0,0,"Sanchez, Carmen J"
2022,Fall,BUS,201,24,29,1,1,0,0,0,0,0,0,0,0,0,0,"Luckman, Elizabeth"
2022,Fall,BUS,301,5,81,7,2,0,0,0,0,0,0,2,0,0,0,"Keating, Kari H"
2022,Fall,BUS,301,18,23,3,1,1,0,0,0,0,0,0,0,0,0,"Swenddal, Heather J"
2022,Fall,BUS,301,7,80,4,1,1,3,0,0,0,0,0,0,0,0,"Ji, Mingshuang"
2022,Fall,BUS,401,0,410,19,7,10,2,2,0,1,0,0,0,1,0,"Martinez, Candace A"
2022,Fall,CHBE,221,0,14,2,2,10,2,9,8,1,0,5,0,1,1,"Higdon, Jonathan J"
2022,Fall,CHEM,101,14,58,32,46,42,27,25,36,22,14,8,4,25,4,"McCarren, Elise M"
2022,Fall,CHEM,101,6,71,36,55,96,45,44,49,26,18,8,6,32,2,"Leveritt, John M"
2022,Fall,CHEM,102,42,42,33,57,91,66,111,59,41,34,12,3,11,1,"Hummel, Thomas J"
2022,Fall,CHEM,102,7,76,65,104,57,37,81,67,61,14,8,13,12,5,"Huang, Tina H"
2022,Fall,CHEM,102,23,52,48,60,76,69,97,80,51,25,19,2,12,3,"Gunasekera, Mutha Merenna"
2022,Fall,CHEM,102,2,5,0,4,3,5,4,4,3,0,0,3,0,2,"Marville, Kelly"
2022,Fall,CHEM,104,14,23,25,33,50,33,42,60,47,5,7,3,15,6,"Ray, Christian R"
2022,Fall,CHEM,104,8,22,17,25,41,30,22,32,29,15,18,10,6,6,"Andino Martinez, Jose G"
2022,Fall,CHEM,150,40,19,4,2,2,0,0,0,0,0,0,0,0,0,"Powers, Kimberly"
2022,Fall,CHEM,199,100,282,8,8,3,5,0,1,2,0,0,0,3,2,"McCarren, Elise M"
2022,Fall,CHEM,203,11,53,28,23,12,6,5,6,2,0,2,1,2,2,"Andino Martinez, Jose G"
2022,Fall,CHEM,232,54,118,54,75,68,59,44,61,33,24,25,8,23,15,"Axelson, Jordan C"
2022,Fall,CHEM,233,385,50,17,12,13,0,2,2,1,0,0,0,3,1,"Formigao Gameir, Armanda"
2022,Fall,CHEM,442,23,24,6,3,1,3,1,1,0,1,0,0,1,1,"Hirata, So"
2022,Fall,CHLH,100,8,8,0,0,2,1,0,1,0,1,0,0,0,0,"Yarnot, Rebecca K"
2022,Fall,CHLH,100,25,114,99,42,32,18,11,6,7,6,1,3,13,0,"Trask, Jeffrey T"
2022,Fall,CHLH,101,0,253,0,0,115,0,0,34,0,0,21,0,24,0,"Woodson, Markisha J"
2022,Fall,CHLH,200,2,61,42,9,18,12,3,2,2,1,1,1,3,0,"Woodson, Markisha J"
2022,Fall,CHLH,206,7,118,0,0,33,0,0,8,0,0,2,0,17,0,"Cole, Sara L"
2022,Fall,CHLH,243,0,318,0,0,83,0,0,25,0,0,6,0,16,1,"Bazan, Christy N"
2022,Fall,CHLH,260,0,584,0,0,54,0,0,12,0,0,9,0,22,2,"Freehill, Ariel N"
2022,Fall,CHLH,274,57,98,57,24,35,19,12,10,0,0,5,0,10,1,"Taylor, Shaneil E"
2022,Fall,CHP,199,23,34,4,1,1,0,0,0,0,0,0,0,0,0,"White, Zuri L"
2022,Fall,CHP,199,25,31,0,0,3,0,0,0,0,0,0,0,1,1,"Fitzjarrald, Amy E"
2022,Fall,CHP,199,15,9,2,1,1,0,0,1,0,0,0,0,0,0,"Jackson, Lisa"
2022,Fall,CI,405,53,38,0,0,4,0,0,1,0,0,0,0,1,0,"Latham, Nancy I"
2022,Fall,CI,406,0,18,1,0,0,0,2,0,0,0,0,0,0,0,"Wawire, Purity N"
2022,Fall,CI,415,0,25,1,0,0,1,1,1,0,0,0,0,0,0,"Lomax, Khalila"
2022,Fall,CI,430,0,18,4,1,1,1,0,2,0,0,0,0,0,0,"Poetzel, Adam R"
2022,Fall,CI,430,0,66,0,1,2,0,0,1,0,0,0,0,0,0,"Altshuler, Mari R"
2022,Fall,CI,450,0,20,2,1,0,0,0,0,0,0,0,0,0,0,"Kirby, Emma N"
2022,Fall,CI,450,0,22,1,1,1,0,0,0,0,0,0,0,1,0,"Leonardi, Nicholas J"
2022,Fall,CI,450,0,22,2,0,0,1,0,0,0,0,0,0,0,0,"Katz, Joshua E"
2022,Fall,CI,452,0,18,2,0,1,0,0,0,0,0,0,0,0,0,"Lewis, Alisha L"
2022,Fall,CI,467,1,18,1,0,0,2,0,0,0,0,0,0,0,0,"Moller, Karla J"
2022,Fall,CI,467,4,15,2,2,3,0,0,1,0,0,0,0,0,0,"Verma, Bhakti"
2022,Fall,CI,476,0,26,10,0,5,1,0,1,0,0,0,0,0,0,"MacGregor, Nancy A"
2022,Fall,CLCV,102,134,27,19,10,10,4,6,4,4,0,0,0,5,1,"Jennings, Elisa T"
2022,Fall,CLCV,115,8,14,1,0,4,0,0,1,0,0,0,0,3,0,"Fenton, Vaughn H"
2022,Fall,CLCV,115,11,14,0,0,3,0,0,1,0,0,0,0,2,0,"Rudman, Nicholas A"
2022,Fall,CLCV,115,5,50,1,1,1,0,0,1,0,0,1,0,1,0,"Rahat, Guy"
2022,Fall,CLCV,115,4,39,1,2,5,1,0,1,1,1,0,1,4,1,"Knierim, Michael"
2022,Fall,CLCV,115,8,45,0,2,2,0,0,1,0,0,1,0,4,0,"Sotiroudis, Panagiotis"
2022,Fall,CLCV,115,8,17,0,0,2,1,0,0,0,0,0,0,3,0,"Baronovic, Joseph R"
2022,Fall,CLCV,115,2,20,1,4,3,0,0,1,0,0,0,0,0,0,"Reymann, Emma F"
2022,Fall,CLCV,115,8,72,1,0,9,0,0,1,2,0,0,1,1,0,"Vandervelde, Amy K"
2022,Fall,CLCV,220,5,6,0,2,4,0,0,1,0,0,0,0,3,0,"Walters, Brian C"
2022,Fall,CLCV,224,45,12,1,0,2,0,1,0,0,0,0,0,1,0,"Hay, Brenden"
2022,Fall,CLCV,224,0,54,1,2,2,0,1,0,0,0,0,0,0,0,"Martinez, Jeffery D"
2022,Fall,CLCV,224,0,53,0,1,3,0,0,0,0,0,0,0,2,1,"Oliveira, Marcella"
2022,Fall,CLCV,224,0,58,0,0,3,0,0,2,0,0,0,0,0,0,"McQueen, Kelli A"
2022,Fall,CLCV,224,8,18,1,0,1,0,1,0,0,0,0,0,2,0,"Warnement, Sophia I"
2022,Fall,CMN,101,5,29,2,4,2,1,1,0,1,1,1,0,0,0,"Stewart, Nathaniel M"
2022,Fall,CMN,101,17,49,10,5,6,1,1,1,0,0,0,0,4,0,"Alberti, George L"
2022,Fall,CMN,101,0,14,3,1,2,1,1,0,1,0,0,0,0,0,"Gailey, Benjamin J"
2022,Fall,CMN,101,8,7,3,1,1,1,0,0,3,0,0,0,0,0,"Hartley, Jason M"
2022,Fall,CMN,101,0,14,14,3,4,4,0,2,0,1,0,0,3,1,"Gallo, Franklin"
2022,Fall,CMN,101,1,11,9,0,1,1,1,0,0,0,0,0,0,0,"Bishop, Mardia J"
2022,Fall,CMN,101,0,7,6,2,3,2,1,0,0,1,0,0,0,0,"Cox, Drew"
2022,Fall,CMN,101,2,9,5,3,1,1,1,0,1,0,0,0,0,0,"Livingston, Noah M"
2022,Fall,CMN,101,1,16,1,1,3,0,0,0,1,0,0,0,0,0,"Choudhry, Bisma N"
2022,Fall,CMN,101,0,6,4,3,4,2,0,1,1,0,0,0,0,1,"Niemeyer, Frank"
2022,Fall,CMN,101,10,19,7,1,7,2,0,0,0,0,0,0,1,0,"Salas, Mia J"
2022,Fall,CMN,101,2,17,10,2,6,4,1,1,1,1,0,0,0,0,"Balester, Nathan"
2022,Fall,CMN,101,0,15,22,5,13,3,2,2,2,2,0,1,1,1,"Bunch, Caroline M"
2022,Fall,CMN,101,0,16,3,0,1,0,0,2,0,1,0,0,0,0,"Knight, Aaron W"
2022,Fall,CMN,101,1,26,6,8,2,1,0,0,0,0,0,0,1,0,"McGowan, Kathleen L"
2022,Fall,CMN,101,2,17,9,3,7,3,1,1,1,0,0,0,1,0,"St John, Jeremiah"
2022,Fall,CMN,101,0,2,3,3,7,5,5,6,3,5,0,0,5,0,"Tchamdjoci, Monet D"
2022,Fall,CMN,101,0,18,1,4,6,4,1,3,3,0,1,0,6,0,"Persad-Maharaj, Tamara"
2022,Fall,CMN,101,0,16,9,6,5,3,1,2,1,0,1,0,1,0,"Rohlfes, Alex I"
2022,Fall,CMN,101,0,4,13,6,10,1,5,1,0,0,2,0,4,0,"Fujimoto, Elinor M"
2022,Fall,CMN,101,0,20,10,6,3,2,1,1,0,0,0,0,3,0,"Brewster, Jamille L"
2022,Fall,CMN,101,0,7,10,5,10,6,2,2,2,0,1,0,1,0,"Gerlikovski, Emily R"
2022,Fall,CMN,111,0,16,4,1,0,0,0,0,0,1,0,0,0,0,"Klajbor-Smith, Michael F"
2022,Fall,CMN,111,0,37,1,1,3,0,0,0,0,0,0,0,2,0,"Sanders, Jacob D"
2022,Fall,CMN,230,12,15,11,8,5,4,2,2,0,0,1,0,0,0,"Farnworth, Megan J"
2022,Fall,CMN,230,10,16,7,6,5,6,3,3,0,1,1,0,0,1,"Kelpinski, Lindsay F"
2022,Fall,CMN,232,0,42,7,2,2,3,0,1,0,0,0,0,0,0,"Eberline, Ana Lisa P"
2022,Fall,CMN,260,8,21,12,7,3,3,1,1,0,0,1,1,1,0,"Pool, Kirsten"
2022,Fall,CMN,260,3,10,16,3,9,4,2,4,0,0,0,0,2,0,"Babu, Sara"
2022,Fall,CMN,260,12,10,7,4,8,3,3,4,5,0,0,0,3,0,"Hartman, Daniel"
2022,Fall,CMN,326,9,2,5,3,2,2,2,0,2,0,0,0,2,0,"Schneider, Abigail M"
2022,Fall,CMN,326,3,13,6,8,4,5,4,4,2,7,1,1,1,0,"Morrow, Ethan"
